Committee,Size,Method,MRA,MRSPB_median,MRSPB_mean
claude_4_5_haiku+gpt_120b_oss+qwen3_30b_instruct,3,SR,0.9043764988009593,-0.010551558752997597,-0.007354116706634689
claude_4_5_haiku+gpt_120b_oss+qwen3_30b_instruct,3,AR,0.9012789768185452,-0.018465227817745806,-0.019264588329336533
claude_4_5_haiku+gpt_120b_oss+qwen3_4b_instruct,3,SR,0.8984812150279776,-0.004076738609112708,-0.004476418864908074
claude_4_5_haiku+gpt_120b_oss+qwen3_4b_instruct,3,AR,0.871203037569944,-0.018705035971223027,-0.009912070343725024
claude_4_5_haiku+gpt_5+llama_4_maverick_17b_128e_instruct,3,SR,0.912669864108713,-0.003796962430055943,-0.007793764988009583
claude_4_5_haiku+gpt_5+llama_4_maverick_17b_128e_instruct,3,AR,0.2930655475619504,-0.029576338928856916,-0.029576338928856916
claude_4_5_haiku+gpt_5+llama_4_scout_17b_16e_instruct,3,SR,0.888189448441247,0.006195043964828145,-0.004596322941646675
claude_4_5_haiku+gpt_5+llama_4_scout_17b_16e_instruct,3,AR,0.2902677857713829,-0.030175859312549957,-0.030175859312549957
claude_4_5_haiku+gpt_5+qwen3_235b_instruct,3,SR,0.9104716227018386,-0.01678657074340527,-0.014788169464428451
claude_4_5_haiku+gpt_5+qwen3_235b_instruct,3,AR,0.29266586730615507,-0.024940047961630695,-0.024940047961630695
claude_4_5_haiku+gpt_5+qwen3_30b_instruct,3,SR,0.907074340527578,-0.012709832134292574,-0.013509192645883301
claude_4_5_haiku+gpt_5+qwen3_30b_instruct,3,AR,0.29576338928856916,-0.026378896882494007,-0.026378896882494007
claude_4_5_haiku+gpt_5+qwen3_4b_instruct,3,SR,0.9009792166266987,-0.0047961630695443624,-0.011191047162270184
claude_4_5_haiku+gpt_5+qwen3_4b_instruct,3,AR,0.29206634692246203,-0.025659472422062353,-0.010071942446043168
claude_4_5_haiku+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct,3,SR,0.863709032773781,-0.0011990407673860837,-0.003597122302158265
claude_4_5_haiku+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct,3,AR,0.8532174260591526,0.0014988009592326185,-0.0020983213429256534
