Committee,Size,Method,MRA,MRSPB_median,MRSPB_mean
gpt_120b_oss+qwen3_30b_instruct,2,AR,0.8954836131095124,-0.0023980815347721812,-0.0023980815347721812
gpt_120b_oss+qwen3_4b_instruct,2,SR,0.8411270983213429,-0.00017129153819800923,-0.00017129153819800923
gpt_120b_oss+qwen3_4b_instruct,2,AR,0.8611111111111112,0.0005995203836930436,0.0005995203836930436
gpt_5+llama_4_maverick_17b_128e_instruct,2,SR,0.8789968025579536,-0.00419664268585132,-0.00419664268585132
gpt_5+llama_4_maverick_17b_128e_instruct,2,AR,0.28647082334132695,-0.008093525179856115,-0.008093525179856115
gpt_5+llama_4_scout_17b_16e_instruct,2,SR,0.8364308553157475,-0.002098321342925659,-0.002098321342925659
gpt_5+llama_4_scout_17b_16e_instruct,2,AR,0.28337330135891287,-0.008243405275779377,-0.008243405275779377
gpt_5+qwen3_235b_instruct,2,SR,0.8790967226219025,-0.005738266529633434,-0.005738266529633434
gpt_5+qwen3_235b_instruct,2,AR,0.2865707434052758,-0.007022953066118534,-0.007022953066118534
gpt_5+qwen3_30b_instruct,2,SR,0.8827937649880095,-0.00565262076053443,-0.00565262076053443
gpt_5+qwen3_30b_instruct,2,AR,0.2922661870503597,-0.007022953066118534,-0.007022953066118534
gpt_5+qwen3_4b_instruct,2,SR,0.8482214228617106,-0.004282288454950328,-0.004282288454950328
gpt_5+qwen3_4b_instruct,2,AR,0.2844724220623501,0.0011133949982870847,0.0011133949982870847
llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct,2,SR,0.8288369304556354,-0.003357314148681064,-0.003357314148681064
llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct,2,AR,0.8475219824140687,-0.0014388489208633191,-0.0014388489208633191
llama_4_maverick_17b_128e_instruct+qwen3_235b_instruct,2,SR,0.865607513988809,-0.012161699212058924,-0.012161699212058924
llama_4_maverick_17b_128e_instruct+qwen3_235b_instruct,2,AR,0.8677058353317346,-0.013960260363138067,-0.013960260363138067
llama_4_maverick_17b_128e_instruct+qwen3_30b_instruct,2,SR,0.8609112709832134,-0.01216169921205892,-0.01216169921205892
llama_4_maverick_17b_128e_instruct+qwen3_30b_instruct,2,AR,0.8748001598721024,-0.010620075368276811,-0.010620075368276811
llama_4_maverick_17b_128e_instruct+qwen3_4b_instruct,2,SR,0.8314348521183054,-0.009592326139088735,-0.009592326139088735
llama_4_maverick_17b_128e_instruct+qwen3_4b_instruct,2,AR,0.8480215827338129,-0.00899280575539569,-0.00899280575539569
llama_4_scout_17b_16e_instruct+qwen3_235b_instruct,2,SR,0.8346322941646682,-0.0001712915381980075,-0.0001712915381980075
llama_4_scout_17b_16e_instruct+qwen3_235b_instruct,2,AR,0.8569144684252598,-0.00496745460774237,-0.00496745460774237
llama_4_scout_17b_16e_instruct+qwen3_30b_instruct,2,SR,0.8381294964028777,-0.006080849606029455,-0.006080849606029455
llama_4_scout_17b_16e_instruct+qwen3_30b_instruct,2,AR,0.8606115107913669,-0.0005995203836930488,-0.0005995203836930488
llama_4_scout_17b_16e_instruct+qwen3_4b_instruct,2,SR,0.8144484412470024,-0.002055498458376156,-0.002055498458376156
llama_4_scout_17b_16e_instruct+qwen3_4b_instruct,2,AR,0.8401278976818545,0.0003425830763960358,0.0003425830763960358
qwen3_235b_instruct+qwen3_30b_instruct,2,SR,0.8732014388489209,0.005595523581135083,0.005595523581135083
qwen3_235b_instruct+qwen3_30b_instruct,2,AR,0.8868904876099121,-0.0021316280309085917,-0.0021316280309085917
qwen3_235b_instruct+qwen3_4b_instruct,2,SR,0.8396282973621103,0.0023980815347721847,0.0023980815347721847
qwen3_235b_instruct+qwen3_4b_instruct,2,AR,0.8591127098321343,-0.002065014654942715,-0.002065014654942715
qwen3_30b_instruct+qwen3_4b_instruct,2,SR,0.8426258992805755,0.00792699173994138,0.00792699173994138
qwen3_30b_instruct+qwen3_4b_instruct,2,AR,0.8659072741806555,0.005928590460964563,0.005928590460964563
claude_4_5_haiku+claude_4_5_sonnet+gemma_3_12b_it,3,SR,0.856215027977618,0.009249743062692703,0.007251341783715883
claude_4_5_haiku+claude_4_5_sonnet+gemma_3_12b_it,3,AR,0.278277378097522,-0.006851661527920521,-0.006851661527920521
