committee,n_members,MRA
gemma_3_12b_it+qwen3_30b_instruct+qwen3_4b_instruct,3,0.7688525746425356
gemma_3_27b_it+gemma_3_4b_it+gpt_120b_oss,3,0.8086215922231087
gemma_3_27b_it+gemma_3_4b_it+gpt_5,3,0.811044752843764
gemma_3_27b_it+gemma_3_4b_it+llama_4_maverick_17b_128e_instruct,3,0.7959287536746174
gemma_3_27b_it+gemma_3_4b_it+llama_4_scout_17b_16e_instruct,3,0.7912482472164147
gemma_3_27b_it+gemma_3_4b_it+qwen3_235b_instruct,3,0.8048990907849688
gemma_3_27b_it+gemma_3_4b_it+qwen3_30b_instruct,3,0.7833758466260171
gemma_3_27b_it+gemma_3_4b_it+qwen3_4b_instruct,3,0.7713150454995765
gemma_3_27b_it+gpt_120b_oss+gpt_5,3,0.7848010449081434
gemma_3_27b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct,3,0.811498680923179
gemma_3_27b_it+gpt_120b_oss+llama_4_scout_17b_16e_instruct,3,0.8098301797788143
gemma_3_27b_it+gpt_120b_oss+qwen3_235b_instruct,3,0.8091339194602818
gemma_3_27b_it+gpt_120b_oss+qwen3_30b_instruct,3,0.8078994486213592
gemma_3_27b_it+gpt_120b_oss+qwen3_4b_instruct,3,0.8023262924332163
gemma_3_27b_it+gpt_5+llama_4_maverick_17b_128e_instruct,3,0.8152045199977481
gemma_3_27b_it+gpt_5+llama_4_scout_17b_16e_instruct,3,0.8135876236492972
gemma_3_27b_it+gpt_5+qwen3_235b_instruct,3,0.8128441263388937
gemma_3_27b_it+gpt_5+qwen3_30b_instruct,3,0.8127255485476566
gemma_3_27b_it+gpt_5+qwen3_4b_instruct,3,0.8070226524023894
gemma_3_27b_it+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct,3,0.7975435470063071
gemma_3_27b_it+llama_4_maverick_17b_128e_instruct+qwen3_235b_instruct,3,0.8068718822776512
gemma_3_27b_it+llama_4_maverick_17b_128e_instruct+qwen3_30b_instruct,3,0.7941216151945226
gemma_3_27b_it+llama_4_maverick_17b_128e_instruct+qwen3_4b_instruct,3,0.7898063865707173
gemma_3_27b_it+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct,3,0.8047455705613891
gemma_3_27b_it+llama_4_scout_17b_16e_instruct+qwen3_30b_instruct,3,0.7895604953801575
gemma_3_27b_it+llama_4_scout_17b_16e_instruct+qwen3_4b_instruct,3,0.7836338706055846
gemma_3_27b_it+qwen3_235b_instruct+qwen3_30b_instruct,3,0.8024383994036491
gemma_3_27b_it+qwen3_235b_instruct+qwen3_4b_instruct,3,0.7976297706935231
gemma_3_27b_it+qwen3_30b_instruct+qwen3_4b_instruct,3,0.7739929946893973
gemma_3_4b_it+gpt_120b_oss+gpt_5,3,0.7894454765403627
gemma_3_4b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct,3,0.8150954866671973
gemma_3_4b_it+gpt_120b_oss+llama_4_scout_17b_16e_instruct,3,0.8144010058243858
gemma_3_4b_it+gpt_120b_oss+qwen3_235b_instruct,3,0.8147289146686391
gemma_3_4b_it+gpt_120b_oss+qwen3_30b_instruct,3,0.8092120546214926
gemma_3_4b_it+gpt_120b_oss+qwen3_4b_instruct,3,0.798207938532379
gemma_3_4b_it+gpt_5+llama_4_maverick_17b_128e_instruct,3,0.8166361891006788
gemma_3_4b_it+gpt_5+llama_4_scout_17b_16e_instruct,3,0.8161117290744978
gemma_3_4b_it+gpt_5+qwen3_235b_instruct,3,0.8162953386148173
gemma_3_4b_it+gpt_5+qwen3_30b_instruct,3,0.8118206042581884
gemma_3_4b_it+gpt_5+qwen3_4b_instruct,3,0.8008252237771605
gemma_3_4b_it+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct,3,0.8027769851022293
gemma_3_4b_it+llama_4_maverick_17b_128e_instruct+qwen3_235b_instruct,3,0.8123413435624068
gemma_3_4b_it+llama_4_maverick_17b_128e_instruct+qwen3_30b_instruct,3,0.7961065394762129
gemma_3_4b_it+llama_4_maverick_17b_128e_instruct+qwen3_4b_instruct,3,0.7865344160310702
gemma_3_4b_it+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct,3,0.811318468563782
gemma_3_4b_it+llama_4_scout_17b_16e_instruct+qwen3_30b_instruct,3,0.7923550811149742
gemma_3_4b_it+llama_4_scout_17b_16e_instruct+qwen3_4b_instruct,3,0.7805296560952867
gemma_3_4b_it+qwen3_235b_instruct+qwen3_30b_instruct,3,0.8056773687571949
gemma_3_4b_it+qwen3_235b_instruct+qwen3_4b_instruct,3,0.7953543065577239
gemma_3_4b_it+qwen3_30b_instruct+qwen3_4b_instruct,3,0.7706906112919705
gpt_120b_oss+gpt_5+llama_4_maverick_17b_128e_instruct,3,0.7769056729038909
gpt_120b_oss+gpt_5+llama_4_scout_17b_16e_instruct,3,0.7806369099501165
gpt_120b_oss+gpt_5+qwen3_235b_instruct,3,0.7699320693231974
gpt_120b_oss+gpt_5+qwen3_30b_instruct,3,0.7840915194069622
gpt_120b_oss+gpt_5+qwen3_4b_instruct,3,0.7867113929800653
gpt_120b_oss+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct,3,0.8079135226566083
gpt_120b_oss+llama_4_maverick_17b_128e_instruct+qwen3_235b_instruct,3,0.8002020837337153
gpt_120b_oss+llama_4_maverick_17b_128e_instruct+qwen3_30b_instruct,3,0.8094132971485034
gpt_120b_oss+llama_4_maverick_17b_128e_instruct+qwen3_4b_instruct,3,0.8129510566526833
gpt_120b_oss+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct,3,0.8043925872865194
gpt_120b_oss+llama_4_scout_17b_16e_instruct+qwen3_30b_instruct,3,0.8091869801908762
gpt_120b_oss+llama_4_scout_17b_16e_instruct+qwen3_4b_instruct,3,0.8076650431377268
gpt_120b_oss+qwen3_235b_instruct+qwen3_30b_instruct,3,0.8074167253893656
gpt_120b_oss+qwen3_235b_instruct+qwen3_4b_instruct,3,0.8104772618592351
gpt_120b_oss+qwen3_30b_instruct+qwen3_4b_instruct,3,0.8003659572705818
gpt_5+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct,3,0.8108875118982217
gpt_5+llama_4_maverick_17b_128e_instruct+qwen3_235b_instruct,3,0.8030615394470941
gpt_5+llama_4_maverick_17b_128e_instruct+qwen3_30b_instruct,3,0.8134572366100924
gpt_5+llama_4_maverick_17b_128e_instruct+qwen3_4b_instruct,3,0.816904081081973
gpt_5+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct,3,0.8072797057588365
gpt_5+llama_4_scout_17b_16e_instruct+qwen3_30b_instruct,3,0.8133427030818579
gpt_5+llama_4_scout_17b_16e_instruct+qwen3_4b_instruct,3,0.8115868458566363
gpt_5+qwen3_235b_instruct+qwen3_30b_instruct,3,0.8114469143567455
gpt_5+qwen3_235b_instruct+qwen3_4b_instruct,3,0.8144217124509593
gpt_5+qwen3_30b_instruct+qwen3_4b_instruct,3,0.8051467614512497
llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct,3,0.8035908525888783
llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_30b_instruct,3,0.797403291965376
llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_4b_instruct,3,0.7966319701255145
llama_4_maverick_17b_128e_instruct+qwen3_235b_instruct+qwen3_30b_instruct,3,0.8050202569045276
llama_4_maverick_17b_128e_instruct+qwen3_235b_instruct+qwen3_4b_instruct,3,0.8090578873158323
llama_4_maverick_17b_128e_instruct+qwen3_30b_instruct+qwen3_4b_instruct,3,0.7884137041631321
llama_4_scout_17b_16e_instruct+qwen3_235b_instruct+qwen3_30b_instruct,3,0.804387248859356
llama_4_scout_17b_16e_instruct+qwen3_235b_instruct+qwen3_4b_instruct,3,0.8035269532334368
llama_4_scout_17b_16e_instruct+qwen3_30b_instruct+qwen3_4b_instruct,3,0.7819491924092096
qwen3_235b_instruct+qwen3_30b_instruct+qwen3_4b_instruct,3,0.7955997124367234
claude_4_5_haiku+claude_4_5_sonnet+gemma_3_12b_it+gemma_3_27b_it,4,0.7919542137661536
claude_4_5_haiku+claude_4_5_sonnet+gemma_3_12b_it+gemma_3_4b_it,4,0.7979013429541497
claude_4_5_haiku+claude_4_5_sonnet+gemma_3_12b_it+gpt_120b_oss,4,0.7697917940609513
claude_4_5_haiku+claude_4_5_sonnet+gemma_3_12b_it+gpt_5,4,0.7620999091496758
claude_4_5_haiku+claude_4_5_sonnet+gemma_3_12b_it+llama_4_maverick_17b_128e_instruct,4,0.7866380502705126
claude_4_5_haiku+claude_4_5_sonnet+gemma_3_12b_it+llama_4_scout_17b_16e_instruct,4,0.7867821878039264
claude_4_5_haiku+claude_4_5_sonnet+gemma_3_12b_it+qwen3_235b_instruct,4,0.7760994490743167
claude_4_5_haiku+claude_4_5_sonnet+gemma_3_12b_it+qwen3_30b_instruct,4,0.7935036922503509
claude_4_5_haiku+claude_4_5_sonnet+gemma_3_12b_it+qwen3_4b_instruct,4,0.7934216139327125
claude_4_5_haiku+claude_4_5_sonnet+gemma_3_27b_it+gemma_3_4b_it,4,0.7938252718230049
claude_4_5_haiku+claude_4_5_sonnet+gemma_3_27b_it+gpt_120b_oss,4,0.7669405279801527
claude_4_5_haiku+claude_4_5_sonnet+gemma_3_27b_it+gpt_5,4,0.7592763058278154
claude_4_5_haiku+claude_4_5_sonnet+gemma_3_27b_it+llama_4_maverick_17b_128e_instruct,4,0.7826489712365544
claude_4_5_haiku+claude_4_5_sonnet+gemma_3_27b_it+llama_4_scout_17b_16e_instruct,4,0.782545235890537
claude_4_5_haiku+claude_4_5_sonnet+gemma_3_27b_it+qwen3_235b_instruct,4,0.772138760766637
claude_4_5_haiku+claude_4_5_sonnet+gemma_3_27b_it+qwen3_30b_instruct,4,0.7894778508656988
claude_4_5_haiku+claude_4_5_sonnet+gemma_3_27b_it+qwen3_4b_instruct,4,0.7894503700985959
claude_4_5_haiku+claude_4_5_sonnet+gemma_3_4b_it+gpt_120b_oss,4,0.7721931763253373
claude_4_5_haiku+claude_4_5_sonnet+gemma_3_4b_it+gpt_5,4,0.7638530364973706
claude_4_5_haiku+claude_4_5_sonnet+gemma_3_4b_it+llama_4_maverick_17b_128e_instruct,4,0.7878772326758332
claude_4_5_haiku+claude_4_5_sonnet+gemma_3_4b_it+llama_4_scout_17b_16e_instruct,4,0.7875492833889499
claude_4_5_haiku+claude_4_5_sonnet+gemma_3_4b_it+qwen3_235b_instruct,4,0.7776276345138052
