committee,n_members,MSD-SP,MSD-FSP
gemma_3_12b_it+gemma_3_4b_it+gpt_120b_oss,3,0.018855712998574237,0.009751809980777244
gemma_3_12b_it+gemma_3_4b_it+gpt_5,3,0.005518737972393727,0.006310718324608914
gemma_3_12b_it+gemma_3_4b_it+llama_4_maverick_17b_128e_instruct,3,0.02267112359068911,0.01624332519527867
gemma_3_12b_it+gemma_3_4b_it+llama_4_scout_17b_16e_instruct,3,0.01921372476369147,0.012743035394780857
gemma_3_12b_it+gemma_3_4b_it+qwen3_235b_instruct,3,0.015286858151090852,0.011699488603428265
gemma_3_12b_it+gemma_3_4b_it+qwen3_30b_instruct,3,0.017932698385936766,0.010698029167299264
gemma_3_12b_it+gemma_3_4b_it+qwen3_4b_instruct,3,0.017729770291817725,0.01033163580065209
gemma_3_12b_it+gpt_120b_oss+gpt_5,3,0.018697127947282448,0.015401667323429315
gemma_3_12b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct,3,0.02529676954472853,0.018700079360493026
gemma_3_12b_it+gpt_120b_oss+llama_4_scout_17b_16e_instruct,3,0.02063204861610484,0.015240305839569864
gemma_3_12b_it+gpt_120b_oss+qwen3_235b_instruct,3,0.023690662294589895,0.01734164642602954
gemma_3_12b_it+gpt_120b_oss+qwen3_30b_instruct,3,0.020216202245564776,0.014008948720213929
gemma_3_12b_it+gpt_120b_oss+qwen3_4b_instruct,3,0.018851869004356425,0.013133299838377417
gemma_3_12b_it+gpt_5+llama_4_maverick_17b_128e_instruct,3,0.017289752696221267,0.014379538284159653
gemma_3_12b_it+gpt_5+llama_4_scout_17b_16e_instruct,3,0.01337067588884466,0.010964392131171877
gemma_3_12b_it+gpt_5+qwen3_235b_instruct,3,0.018031058558583318,0.014146218647820766
gemma_3_12b_it+gpt_5+qwen3_30b_instruct,3,0.012449459687569185,0.0102630818232363
gemma_3_12b_it+gpt_5+qwen3_4b_instruct,3,0.011112388393862705,0.009405060935367719
gemma_3_12b_it+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct,3,0.026624244720723292,0.02097158734987523
gemma_3_12b_it+llama_4_maverick_17b_128e_instruct+qwen3_235b_instruct,3,0.02430449829802551,0.018576747202798498
gemma_3_12b_it+llama_4_maverick_17b_128e_instruct+qwen3_30b_instruct,3,0.028059891052888235,0.021921907556633282
gemma_3_12b_it+llama_4_maverick_17b_128e_instruct+qwen3_4b_instruct,3,0.03063217638055544,0.025011278682296398
gemma_3_12b_it+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct,3,0.02194865761179018,0.01759509501324041
gemma_3_12b_it+llama_4_scout_17b_16e_instruct+qwen3_30b_instruct,3,0.02578220918812231,0.02015343253755339
gemma_3_12b_it+llama_4_scout_17b_16e_instruct+qwen3_4b_instruct,3,0.02798516222322344,0.02282784626017968
gemma_3_12b_it+qwen3_235b_instruct+qwen3_30b_instruct,3,0.021797990724956504,0.01746665508728442
gemma_3_12b_it+qwen3_235b_instruct+qwen3_4b_instruct,3,0.021014612432646636,0.016958413842168264
gemma_3_12b_it+qwen3_30b_instruct+qwen3_4b_instruct,3,0.023740882233338225,0.018130903251723035
gemma_3_27b_it+gemma_3_4b_it+gpt_120b_oss,3,0.016323887725829253,0.00796244531523654
gemma_3_27b_it+gemma_3_4b_it+gpt_5,3,0.004039385264685998,0.004480945189024043
gemma_3_27b_it+gemma_3_4b_it+llama_4_maverick_17b_128e_instruct,3,0.019168647729813096,0.013415809379880813
gemma_3_27b_it+gemma_3_4b_it+llama_4_scout_17b_16e_instruct,3,0.016448971331627857,0.0104594122654556
gemma_3_27b_it+gemma_3_4b_it+qwen3_235b_instruct,3,0.013749596445072367,0.01010842226528327
gemma_3_27b_it+gemma_3_4b_it+qwen3_30b_instruct,3,0.01597753183080211,0.009257584287246039
gemma_3_27b_it+gemma_3_4b_it+qwen3_4b_instruct,3,0.016293754608963172,0.00961324073721682
gemma_3_27b_it+gpt_120b_oss+gpt_5,3,0.017360466358561963,0.013725736184633968
gemma_3_27b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct,3,0.023590759735950578,0.01663260926918894
gemma_3_27b_it+gpt_120b_oss+llama_4_scout_17b_16e_instruct,3,0.019517297650785255,0.013338755943190507
gemma_3_27b_it+gpt_120b_oss+qwen3_235b_instruct,3,0.022206775566788267,0.015497703208996247
gemma_3_27b_it+gpt_120b_oss+qwen3_30b_instruct,3,0.018984311994530392,0.012802770456317598
gemma_3_27b_it+gpt_120b_oss+qwen3_4b_instruct,3,0.01723066008891301,0.011863559837462493
gemma_3_27b_it+gpt_5+llama_4_maverick_17b_128e_instruct,3,0.015314090678689682,0.012396826472524318
gemma_3_27b_it+gpt_5+llama_4_scout_17b_16e_instruct,3,0.012102205375725377,0.009190160182441676
gemma_3_27b_it+gpt_5+qwen3_235b_instruct,3,0.016670185653006944,0.012370369340978063
gemma_3_27b_it+gpt_5+qwen3_30b_instruct,3,0.011555890159442,0.009064060269275165
gemma_3_27b_it+gpt_5+qwen3_4b_instruct,3,0.009856900430284442,0.008219067934869016
gemma_3_27b_it+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct,3,0.025034637654059347,0.01908444980687514
gemma_3_27b_it+llama_4_maverick_17b_128e_instruct+qwen3_235b_instruct,3,0.022383604994425148,0.01669458762389421
gemma_3_27b_it+llama_4_maverick_17b_128e_instruct+qwen3_30b_instruct,3,0.026035218899699866,0.019834778409160002
gemma_3_27b_it+llama_4_maverick_17b_128e_instruct+qwen3_4b_instruct,3,0.02829590080611355,0.022810952950095827
gemma_3_27b_it+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct,3,0.020597301895854587,0.015507175338174623
gemma_3_27b_it+llama_4_scout_17b_16e_instruct+qwen3_30b_instruct,3,0.02396290850143025,0.01817364392596534
gemma_3_27b_it+llama_4_scout_17b_16e_instruct+qwen3_4b_instruct,3,0.025790352554461726,0.02076396732161001
gemma_3_27b_it+qwen3_235b_instruct+qwen3_30b_instruct,3,0.020687447243793115,0.01575859489565469
gemma_3_27b_it+qwen3_235b_instruct+qwen3_4b_instruct,3,0.019516181846257218,0.015643228904451405
gemma_3_27b_it+qwen3_30b_instruct+qwen3_4b_instruct,3,0.02217479806271376,0.01663914050878262
gemma_3_4b_it+gpt_120b_oss+gpt_5,3,0.0030227743643193136,0.004205243842210917
gemma_3_4b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct,3,0.013069651849844889,0.006717431289168779
gemma_3_4b_it+gpt_120b_oss+llama_4_scout_17b_16e_instruct,3,0.01039845156251601,0.003931005392924777
gemma_3_4b_it+gpt_120b_oss+qwen3_235b_instruct,3,0.009078153521985046,0.0058956982927136055
gemma_3_4b_it+gpt_120b_oss+qwen3_30b_instruct,3,0.012644357907748031,0.004868157306299365
