Committee,Size,Members,Method,MPA,MRD,MSD,MSD_norm,MIPA
gemma_3_27b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+qwen3_235b_instruct+qwen3_30b_instruct+qwen3_4b_instruct,6,"Gemma-27B, GPT-120B, Llama-Mav, Qwen-235B, Qwen-30B, Qwen-4B",DA,0.8333333333333334,1.5,0.04121739576915175,0.04697593378277932,0.735422618047387
gemma_3_27b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+qwen3_235b_instruct+qwen3_30b_instruct+qwen3_4b_instruct,6,"Gemma-27B, GPT-120B, Llama-Mav, Qwen-235B, Qwen-30B, Qwen-4B",PWC,0.6363636363636364,3.3333333333333335,1.3877787807814457e-17,-0.00187837737519751,0.222539629193973
gemma_3_27b_it+gpt_120b_oss+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct+qwen3_30b_instruct+qwen3_4b_instruct,6,"Gemma-27B, GPT-120B, Llama-Scout, Qwen-235B, Qwen-30B, Qwen-4B",SR,0.8939393939393939,1.0,0.031269254467036385,0.03568375644370229,0.8186019156444295
gemma_3_27b_it+gpt_120b_oss+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct+qwen3_30b_instruct+qwen3_4b_instruct,6,"Gemma-27B, GPT-120B, Llama-Scout, Qwen-235B, Qwen-30B, Qwen-4B",AR,0.7424242424242424,2.1666666666666665,0.05419490655165332,0.06152923794572515,0.825743572508822
gemma_3_27b_it+gpt_120b_oss+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct+qwen3_30b_instruct+qwen3_4b_instruct,6,"Gemma-27B, GPT-120B, Llama-Scout, Qwen-235B, Qwen-30B, Qwen-4B",DA,0.803030303030303,1.8333333333333333,0.03967275963579106,0.04529576366929335,0.7351985660673276
gemma_3_27b_it+gpt_120b_oss+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct+qwen3_30b_instruct+qwen3_4b_instruct,6,"Gemma-27B, GPT-120B, Llama-Scout, Qwen-235B, Qwen-30B, Qwen-4B",PWC,0.6212121212121212,3.3333333333333335,0.0,-0.0016561010973834996,0.21581806979219179
gemma_3_27b_it+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct+qwen3_30b_instruct+qwen3_4b_instruct,6,"Gemma-27B, Llama-Mav, Llama-Scout, Qwen-235B, Qwen-30B, Qwen-4B",SR,0.8939393939393939,1.0833333333333333,0.03283528445265971,0.03756703183820195,0.807875427099087
gemma_3_27b_it+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct+qwen3_30b_instruct+qwen3_4b_instruct,6,"Gemma-27B, Llama-Mav, Llama-Scout, Qwen-235B, Qwen-30B, Qwen-4B",AR,0.803030303030303,2.0,0.052911275415896485,0.06017063327563277,0.8165574413263877
gemma_3_27b_it+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct+qwen3_30b_instruct+qwen3_4b_instruct,6,"Gemma-27B, Llama-Mav, Llama-Scout, Qwen-235B, Qwen-30B, Qwen-4B",DA,0.7727272727272727,1.6666666666666667,0.05105856780995413,0.05819333640689645,0.7138016019716574
gemma_3_27b_it+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct+qwen3_30b_instruct+qwen3_4b_instruct,6,"Gemma-27B, Llama-Mav, Llama-Scout, Qwen-235B, Qwen-30B, Qwen-4B",PWC,0.6363636363636364,3.3333333333333335,9.25185853854297e-18,-0.0012885986251416671,0.2011426650983028
