Committee,Size,Method,MRA,MRSPB_median,MRSPB_mean,MRSPB_median_aware,MRSPB_mean_aware
gemma_3_4b_it+llama_4_maverick_17b_128e_instruct,2,SR,0.8724020783373302,0.02567279509725552,0.02567279509725552,0.028527178257394085,0.028527178257394085
gemma_3_4b_it+llama_4_maverick_17b_128e_instruct,2,AR,0.875599520383693,0.02699173994138023,0.02699173994138023,0.030000999200639485,0.030000999200639485
gemma_3_4b_it+llama_4_scout_17b_16e_instruct,2,SR,0.8385291766586731,0.03277378097521983,0.03277378097521983,0.03651245670130562,0.03651245670130562
gemma_3_4b_it+llama_4_scout_17b_16e_instruct,2,AR,0.8564148681055156,0.035118571809219304,0.035118571809219304,0.03912703170796696,0.03912703170796696
gemma_3_4b_it+qwen3_235b_instruct,2,SR,0.8829936051159073,0.014721556088462567,0.014721556088462567,0.016561750599520385,0.016561750599520385
gemma_3_4b_it+qwen3_235b_instruct,2,AR,0.8877897681854516,0.015187849720223818,0.015187849720223818,0.0170863309352518,0.0170863309352518
gemma_3_4b_it+qwen3_30b_instruct,2,SR,0.8782973621103117,0.034106048494537695,0.034106048494537695,0.038369304556354906,0.038369304556354906
gemma_3_4b_it+qwen3_30b_instruct,2,AR,0.8960831334932055,0.039301891819877414,0.039301891819877414,0.044214628297362106,0.044214628297362106
gemma_3_4b_it+qwen3_4b_instruct,2,SR,0.8465227817745803,0.03277378097521982,0.03277378097521982,0.0368705035971223,0.0368705035971223
gemma_3_4b_it+qwen3_4b_instruct,2,AR,0.8673061550759392,0.035038635758060224,0.035038635758060224,0.039418465227817744,0.039418465227817744
gpt_120b_oss+llama_4_maverick_17b_128e_instruct,2,SR,0.8734012789768185,-0.0022182254196642668,-0.0022182254196642668,-0.002464694910738076,-0.002464694910738076
gpt_120b_oss+llama_4_maverick_17b_128e_instruct,2,AR,0.8751998401278976,-0.0039568345323741,-0.0039568345323741,-0.004396482813749,-0.004396482813749
gpt_120b_oss+llama_4_scout_17b_16e_instruct,2,SR,0.8317346123101519,-0.000719424460431657,-0.000719424460431657,-0.0007993605115907297,-0.0007993605115907297
