Judge,Method,MRD-SP,MRD-SP_d_self,MRD-SP_d_other,MRD-FSP,MRD-FSP_d_family,MRD-FSP_d_nonfamily,MRD-FOSP,MRD-FOSP_d_family,MRD-FOSP_d_nonfamily,MSD-SP,MSD-SP_d_self,MSD-SP_d_other,MSD-SP-norm,MSD-SP-norm_d_self,MSD-SP-norm_d_other,MSD-FSP,MSD-FSP_d_family,MSD-FSP_d_nonfamily,MSD-FSP-norm,MSD-FSP-norm_d_family,MSD-FSP-norm_d_nonfamily,MSD-FOSP,MSD-FOSP_d_family,MSD-FOSP_d_nonfamily,MSD-FOSP-norm,MSD-FOSP-norm_d_family,MSD-FOSP-norm_d_nonfamily
Qwen-235B,PWC,-1.4444444444444444,-1.0,0.4444444444444444,-1.7777777777777777,-1.3333333333333333,0.4444444444444444,-1.9444444444444444,-1.5,0.4444444444444444,0.14754756436826683,0.12594521929087554,-0.021602345077391283,0.28792543664435377,0.24224305106658062,-0.04568238557777318,0.08640938030956515,0.06480703523217386,-0.021602345077391283,0.17244967783951054,0.12676729226173736,-0.04568238557777318,0.05584028828021431,0.03423794320282303,-0.021602345077391283,0.11471179843708891,0.06902941285931573,-0.04568238557777318
Qwen-30B,SR,-0.5555555555555556,0.0,0.5555555555555556,-2.2222222222222223,-1.6666666666666667,0.5555555555555556,-3.0555555555555554,-2.5,0.5555555555555556,0.010542890395015991,0.05884165126309293,0.04829876086807694,0.01058449657820306,0.06604426002766241,0.05545976344945935,0.005100294379407101,0.05339905524748404,0.04829876086807694,0.003946395104569206,0.05940615855402855,0.05545976344945935,0.0023789963716026596,0.0506777572396796,0.04829876086807694,0.000627344367752268,0.056087107817211615,0.05545976344945935
Qwen-30B,AR,-4.666666666666667,-4.0,0.6666666666666666,-2.6666666666666665,-2.0,0.6666666666666666,-1.6666666666666665,-1.0,0.6666666666666666,0.014718970356678393,0.08256315465187924,0.06784418429520085,0.015162020308340018,0.09266943291839559,0.07750741261005557,0.0009584445813651532,0.068802628876566,0.06784418429520085,-0.0009843037548242506,0.07652310885523132,0.07750741261005557,-0.005921818306291474,0.06192236598890938,0.06784418429520085,-0.009057465786406385,0.06844994682364919,0.07750741261005557
Qwen-30B,DA,-2.4444444444444446,-2.0,0.4444444444444444,-1.7777777777777777,-1.3333333333333333,0.4444444444444444,-1.4444444444444444,-1.0,0.4444444444444444,0.004586841925104501,0.0841035120147875,0.079516670089683,0.0037254893619739493,0.09439834024896274,0.09067285088698879,-0.00475799274320525,0.07475867734647774,0.079516670089683,-0.007534188566285058,0.08313866232070373,0.09067285088698879,-0.009430410077360118,0.07008626001232288,0.079516670089683,-0.01316402753041454,0.07750882335657425,0.09067285088698879
Qwen-30B,PWC,-5.888888888888889,-5.0,0.8888888888888888,-3.5555555555555554,-2.6666666666666665,0.8888888888888888,-2.388888888888889,-1.5,0.8888888888888888,0.19211523740174388,0.15350361283817848,-0.0386116245635654,0.389183200252465,0.30955608268383605,-0.07962711756862893,0.15444649825426165,0.11583487369069627,-0.0386116245635654,0.309406868998468,0.22977975142983906,-0.07962711756862893,0.13561212868052056,0.09700050411695516,-0.0386116245635654,0.26951870337146944,0.18989158580284052,-0.07962711756862893
Qwen-4B,SR,-4.777777777777778,-4.0,0.7777777777777778,-3.111111111111111,-2.3333333333333335,0.7777777777777778,-2.2777777777777777,-1.5,0.7777777777777778,0.024645717806531305,0.015711645101663785,-0.00893407270486752,0.026380140976981978,0.017647058823529637,-0.00873308215345234,0.016430478537687483,0.007496405832819963,-0.00893407270486752,0.017117082824492404,0.008384000671040061,-0.00873308215345234,0.012322858903265572,0.0033887861983980527,-0.00893407270486752,0.012485553748247613,0.0037524715947952723,-0.00873308215345234
Qwen-4B,AR,-4.666666666666667,-4.0,0.6666666666666666,-2.6666666666666665,-2.0,0.6666666666666666,-1.6666666666666665,-1.0,0.6666666666666666,0.012014787430684033,0.039433148490449876,0.027418361059765844,0.012091090992732728,0.044290657439446476,0.03219956644671375,0.003080714725816426,0.03049907578558227,0.027418361059765844,0.001838510494348182,0.03403807694106193,0.03219956644671375,-0.0013863216266173754,0.02603203943314847,0.027418361059765844,-0.003287779754844091,0.028911786691869657,0.03219956644671375
Qwen-4B,DA,-3.888888888888889,-3.0,0.8888888888888888,-3.5555555555555554,-2.6666666666666665,0.8888888888888888,-3.388888888888889,-2.5,0.8888888888888888,0.011706715958102479,0.07794208256315482,0.06623536660505235,0.011820989639456048,0.08754325259515591,0.07572226295569986,0.0025672622715137705,0.06880262887656612,0.06623536660505235,0.0008194827112307512,0.07654174566693062,0.07572226295569986,-0.0020024645717805906,0.06423290203327175,0.06623536660505235,-0.004681270752881897,0.07104099220281797,0.07572226295569986
Qwen-4B,PWC,-3.888888888888889,-3.0,0.8888888888888888,-3.5555555555555554,-2.6666666666666665,0.8888888888888888,-3.388888888888889,-2.5,0.8888888888888888,0.12123079221045946,0.09141320786422447,-0.029817584346235,0.24349220693928403,0.1849710982658959,-0.05852110867338814,0.11927033738494,0.089452753038705,-0.029817584346235,0.23668543563745809,0.17816432696406995,-0.05852110867338814,0.11829010997218026,0.08847252562594526,-0.029817584346235,0.23328204998654514,0.174760941313157,-0.05852110867338814
GPT-120B,SR,1.1,1.0,-0.1,0.6,0.5,-0.1,0.1,0.0,-0.1,0.004004929143561355,-0.0576093653727664,-0.06161429451632775,0.005044365717941854,-0.06406303528605678,-0.06910740100399863,0.008317929759704225,-0.05329636475662353,-0.06161429451632775,0.011635883360970212,-0.05747151764302842,-0.06910740100399863,0.012630930375847095,-0.048983364140480656,-0.06161429451632775,0.01822740100399857,-0.050880000000000064,-0.06910740100399863
GPT-120B,AR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01346272335181771,-0.04621072088724576,-0.05967344423906347,0.015644446832896244,-0.051387461459403816,-0.06703190829230006,0.01823783117683299,-0.04143561306223048,-0.05967344423906347,0.022298177562598068,-0.04473373072970199,-0.06703190829230006,0.023012939001848268,-0.0366605052372152,-0.05967344423906347,0.02895190829229989,-0.03808000000000017,-0.06703190829230006
GPT-120B,DA,1.1,1.0,-0.1,0.6,0.5,-0.1,0.1,0.0,-0.1,0.0019408502772643027,-0.04959950708564387,-0.05154035736290817,0.002755819561465464,-0.055155875299760196,-0.05791169486122566,0.009026494146641903,-0.04251386321626627,-0.05154035736290817,0.011933757211345465,-0.045977937649880195,-0.05791169486122566,0.016112138016019503,-0.03542821934688867,-0.05154035736290817,0.021111694861225466,-0.036800000000000194,-0.05791169486122566
GPT-120B,PWC,-2.2,-2.0,0.2,-1.2,-1.0,0.2,-0.2,0.0,0.2,0.017660897328180148,0.013863216266173761,-0.003797681062006386,0.035595501609481425,0.027754415475189254,-0.00784108613429217,0.022786086372038345,0.01898840531003196,-0.003797681062006386,0.04354007002760461,0.03569898389331244,-0.00784108613429217,0.027911275415896542,0.024113594353890155,-0.003797681062006386,0.051484638445727794,0.04364355231143562,-0.00784108613429217
